State,Survival- Better Than Expected (STATE),Survival- As Expected (STATE),Survival- Worse Than Expected (STATE),Hospitalizations- Better Than Expected (STATE),Hospitalizations- As Expected (STATE),Hospitalizations- Worse Than Expected (STATE),Hospital Readmission - Better Than Expected (STATE),Hospital Readmission - As Expected (STATE),Hospital  Readmission - Worse Than Expected (STATE),Transfusions- Better than expected (STATE),Transfusions- As expected (STATE),Transfusions- Worse than expected (STATE),Infection- Better than expected (STATE),Infection- As expected (STATE),Infection- Worse than expected (STATE),Percentage of adult HD patients with Kt/V>=1.2,Percentage Of Adult PD Patients With Kt/V>=1.7,Percentage Of Pediatric HD Patients With Kt/V>=1.2,Percentage Of Pediatric PD Patients With Kt/V>=1.8,Percentage Of Pediatric HD Patients With nPCR In Use,Fistula Rate - Better Than Expected (STATE),Fistula Rate - As Expected (STATE),Fistula Rate - Worse Than Expected (STATE),Percentage Of Adult Patients With Long Term Catheter In Use,Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 Mg/dL),Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 3.5-4.5 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 4.6-5.5 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 5.6-7.0 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 Mg/dL,Incident Patients Transplant Waitlisting- Better Than Expected (STATE),Incident Patients Transplant Waitlisting - As Expected (STATE),Incident Patients Transplant Waitlisting - Worse Than Expected (STATE),Prevalent Patients Transplant Waitlisting- Better Than Expected (STATE),Prevalent Patients Transplant Waitlisting - As Expected (STATE),Prevalent Patients Transplant Waitlisting - Worse Than Expected (STATE),Healthcare worker COVID-19 vaccination adherence percentage (STATE),Percentage Of Patients With Hgb<10 g/dL (STATE),Percentage of patients with Hgb>12 g/dL (STATE),SEDR - Better Than Expected (STATE),SEDR - As Expected (STATE),SEDR - Worse Than Expected (STATE),ED30 - Better Than Expected (STATE),ED30 - As Expected (STATE),ED30 - Worse Than Expected (STATE),N FOR SMSR CATEGORY 1: SMSR-Better than expected (State),N FOR SMSR CATEGORY 2: SMSR-As Expected (State),N FOR SMSR CATEGORY 3: SMSR-Worse than expected (State)
AK,0,7,0,0,7,0,0,6,0,2,4,0,1.0,6.0,0.0,98.0,98.0,,,,2,5,0,12.0,1.0,9.0,24.0,25.0,25.0,17.0,0,3,0,0,6,0,0.0,29.0,0.0,0,6,1,0,7,0,1,6,0
AL,0,161,6,3,155,11,6,156,3,0,56,10,46.0,105.0,1.0,97.0,94.0,84.0,71.0,87.0,5,143,14,14.0,1.0,7.0,19.0,25.0,27.0,22.0,2,68,6,2,161,8,0.0,22.0,0.0,0,146,8,3,140,4,5,139,4
AR,1,57,4,1,59,3,2,58,1,0,39,5,19.0,40.0,1.0,96.0,94.0,100.0,93.0,91.0,3,53,7,24.0,1.0,7.0,20.0,25.0,26.0,22.0,1,42,2,0,61,2,0.0,22.0,1.0,0,57,4,1,56,3,8,51,1
AS,0,2,0,0,2,0,0,1,0,1,1,0,0.0,0.0,0.0,,,,,,0,1,1,,,,,,,,0,0,1,0,1,1,,,,0,1,1,0,1,0,0,1,1
AZ,0,117,2,0,118,2,0,116,2,0,89,2,68.0,49.0,0.0,97.0,94.0,84.0,95.0,99.0,10,108,0,16.0,1.0,7.0,21.0,26.0,27.0,19.0,4,95,7,0,113,8,2.0,18.0,0.0,4,107,5,3,106,5,7,94,15
CA,12,682,12,11,694,11,10,672,19,1,581,23,356.0,232.0,1.0,96.0,89.0,60.0,72.0,74.0,36,608,12,17.0,1.0,7.0,22.0,27.0,26.0,18.0,34,506,37,149,575,2,4.0,18.0,1.0,5,640,45,11,660,20,13,491,115
CO,1,79,1,5,76,0,3,70,0,0,46,2,23.0,51.0,0.0,98.0,91.0,83.0,47.0,88.0,8,72,0,16.0,1.0,7.0,23.0,27.0,25.0,17.0,7,41,0,4,77,1,5.0,19.0,1.0,0,69,9,0,72,1,12,58,2
CT,2,46,0,1,47,0,0,48,0,0,42,2,20.0,27.0,0.0,97.0,94.0,100.0,92.0,93.0,5,42,0,16.0,1.0,7.0,22.0,29.0,25.0,16.0,2,27,0,3,44,0,4.0,20.0,1.0,0,44,4,0,46,2,3,43,0
DC,0,17,0,0,16,0,0,15,0,0,12,1,12.0,2.0,0.0,97.0,90.0,76.0,90.0,81.0,0,16,0,13.0,2.0,8.0,21.0,26.0,27.0,18.0,1,10,1,0,14,0,3.0,23.0,0.0,0,16,0,0,16,0,0,9,4
DE,0,30,1,0,29,2,0,31,0,0,18,4,14.0,14.0,0.0,98.0,95.0,98.0,77.0,100.0,0,31,0,19.0,1.0,7.0,21.0,27.0,27.0,19.0,1,10,0,0,30,1,7.0,21.0,0.0,1,28,2,0,30,1,4,25,0
FL,1,473,22,0,423,83,1,465,37,0,246,34,216.0,223.0,1.0,96.0,94.0,91.0,71.0,94.0,6,462,27,22.0,1.0,7.0,22.0,28.0,25.0,18.0,21,298,10,8,494,14,4.0,23.0,1.0,1,466,5,19,463,2,41,399,12
GA,0,326,21,1,331,15,6,323,11,0,180,8,129.0,156.0,3.0,96.0,92.0,76.0,51.0,80.0,2,317,11,16.0,1.0,8.0,22.0,26.0,26.0,18.0,5,208,5,3,338,9,4.0,24.0,0.0,1,295,27,8,311,6,20,278,10
GU,0,5,0,0,5,0,0,4,1,0,3,2,5.0,0.0,0.0,98.0,99.0,,100.0,,0,5,0,13.0,2.0,7.0,17.0,22.0,29.0,26.0,0,1,4,0,0,5,,17.0,0.0,0,4,1,0,4,1,0,0,5
HI,5,34,0,2,38,0,5,33,0,1,27,0,13.0,25.0,0.0,97.0,97.0,100.0,98.0,96.0,0,41,0,11.0,1.0,7.0,23.0,27.0,25.0,17.0,0,20,8,0,36,4,1.0,15.0,0.0,0,33,3,0,32,1,0,30,4
