STATE,Lower box percent of patients-nephrologists' communication and caring,Middle box percent of patients-nephrologists' communication and caring,Top box percent of patients-nephrologists' communication and caring,Linearized score of nephrologists' communication and caring,Lower box percent of patients-quality of dialysis center care and operations,Middle box percent of patients-quality of dialysis center care and operations,Top box percent of patients-quality of dialysis center care and operations,Linearized score of quality of dialysis center care and operations,Lower box percent of patients-providing information to patients,Top box percent of patients- providing information to patients,Linearized score of providing information to patients,Lower box percent of patients-rating of the nephrologist,Middle box percent of patients- rating of the nephrologist,Top box percent of patients- rating of the nephrologist,Linearized score of rating of the nephrologist,Lower box percent of patients-rating of the dialysis center staff,Middle box percent of patients-rating of the dialysis center staff,Top box percent of patients-rating of the dialysis center staff,Linearized score of rating of the dialysis center staff,Lower box percent of patients-rating of the dialysis facility,Middle box percent of patients-rating of the dialysis facility,Top box percent of patients-rating of the dialysis facility,Linearized score of rating of the dialysis facility,Total number of completed interviews from the Fall and Spring Surveys,Survey response rate
AK,15.0,10.0,75.0,85.0,17.0,14.0,69.0,82.0,18.0,82.0,82.0,12.0,23.0,65.0,85.0,8.0,22.0,70.0,89.0,8.0,17.0,75.0,90.0,284.0,34.0
AL,20.0,13.0,67.0,80.0,20.0,18.0,62.0,79.0,21.0,79.0,79.0,15.0,26.0,59.0,83.0,13.0,25.0,62.0,85.0,13.0,20.0,67.0,86.0,3604.0,24.0
AR,18.0,14.0,68.0,82.0,18.0,19.0,63.0,80.0,19.0,81.0,81.0,14.0,26.0,60.0,85.0,10.0,27.0,63.0,86.0,11.0,21.0,68.0,88.0,1729.0,24.0
AS,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,22.0,15.0,63.0,78.0,19.0,20.0,61.0,79.0,22.0,78.0,78.0,17.0,28.0,55.0,82.0,12.0,25.0,63.0,86.0,13.0,20.0,67.0,86.0,4093.0,25.0
CA,19.0,14.0,67.0,81.0,15.0,18.0,67.0,82.0,20.0,80.0,80.0,13.0,27.0,60.0,85.0,8.0,23.0,69.0,88.0,8.0,19.0,73.0,89.0,27858.0,25.0
CO,14.0,15.0,71.0,84.0,14.0,19.0,67.0,83.0,18.0,82.0,82.0,11.0,25.0,64.0,86.0,9.0,20.0,71.0,89.0,7.0,17.0,76.0,90.0,1886.0,27.0
CT,18.0,14.0,68.0,81.0,17.0,18.0,65.0,81.0,21.0,79.0,79.0,12.0,29.0,59.0,85.0,9.0,24.0,67.0,88.0,10.0,19.0,71.0,89.0,1535.0,24.0
DC,17.0,13.0,70.0,83.0,23.0,19.0,58.0,76.0,24.0,76.0,76.0,11.0,29.0,60.0,85.0,14.0,32.0,54.0,83.0,16.0,25.0,59.0,83.0,576.0,25.0
DE,18.0,14.0,68.0,81.0,17.0,18.0,65.0,81.0,20.0,80.0,80.0,15.0,26.0,59.0,84.0,9.0,26.0,65.0,88.0,9.0,23.0,68.0,89.0,738.0,27.0
